average_salary,benefits,experience_levels,gender,job_title,median_salary,salary_period,summary,url
"Rs 826,592","{'Medical': '56%', 'Dental': '10%', 'Vision': '8%', 'None': '44%'}","{'Entry Level': '▼40%', 'Early Career': '▲1%', 'Mid Career': '▲42%', 'Late Career': '▲48%'}","{'Male': '85.1%', 'Female': '14.9%'}",Average Software Developer Salary in Pakistan,PKR 827k,/ year,"The average salary for a Software Developer is Rs 826,592 in 2025",https://www.payscale.com/research/PK/Job=Software_Developer/Salary
"Rs 593,218","{'Medical': '39%', 'Dental': '6%', 'Vision': '6%', 'None': '61%'}","{'Early Career': '▼18%', 'Mid Career': '▲117%', 'Late Career': '▲153%'}","{'Male': '73.3%', 'Female': '26.7%'}",Average Digital Marketing Manager Salary in Pakistan,PKR 593k,/ year,"The average salary for a Digital Marketing Manager is Rs 593,218 in 2025",https://www.payscale.com/research/PK/Job=Digital_Marketing_Manager/Salary
"Rs 297,842","{'Medical': '39%', 'Dental': '7%', 'Vision': '7%', 'None': '61%'}","{'Entry Level': '▼27%', 'Early Career': '▼2%', 'Mid Career': '▲96%', 'Late Career': '▼68%', 'Experienced': '▲59%'}","{'Male': '79.5%', 'Female': '19.9%', 'Prefer to self-define': '0.7%'}",Average Graphic Designer Salary in Pakistan,PKR 298k,/ year,"The average salary for a Graphic Designer is Rs 297,842 in 2025",https://www.payscale.com/research/PK/Job=Graphic_Designer/Salary
"Rs 1,199,329","{'Medical': '60%', 'Dental': '10%', 'Vision': '20%', 'None': '40%'}","{'Entry Level': '▲227%', 'Early Career': '▼20%', 'Mid Career': '▼14%', 'Late Career': '▲30%', 'Experienced': '▲150%'}","{'Male': '95.5%', 'Female': '4.5%'}",Average General / Operations Manager Salary in Pakistan,PKR 1m,/ year,"The average salary for a General / Operations Manager is Rs 1,199,329 in 2025",https://www.payscale.com/research/PK/Job=General_%2F_Operations_Manager/Salary
"Rs 352,346","{'Medical': '68%', 'Dental': '4%', 'None': '32%'}","{'Entry Level': '▼22%', 'Early Career': '▲5%', 'Mid Career': '▲46%', 'Late Career': '▲145%'}","{'Male': '85.7%', 'Female': '14.3%'}",Average Customer Service Representative (CSR) Salary in Pakistan,PKR 352k,/ year,"The average salary for a Customer Service Representative (CSR) is Rs 352,346 in 2025",https://www.payscale.com/research/PK/Job=Customer_Service_Representative_(CSR)/Salary
"Rs 899,908","{'Medical': '83%', 'Dental': '17%', 'Vision': '17%', 'None': '17%'}","{'Early Career': '▲4%', 'Mid Career': '▲33%'}","{'Male': '71.9%', 'Female': '28.1%'}",Average UX/UI Designer Salary in Pakistan,PKR 900k,/ year,"The average salary for a UX/UI Designer is Rs 899,908 in 2025",https://www.payscale.com/research/PK/Job=UX%2FUI_Designer/Salary
"Rs 1,204,504","{'Medical': '72%', 'Dental': '22%', 'Vision': '17%', 'None': '28%'}","{'Entry Level': '▼53%', 'Early Career': '▼1%', 'Mid Career': '▲45%'}","{'Male': '89.5%', 'Female': '10.5%'}",Average Development Operations (DevOps) Engineer Salary in Pakistan,PKR 1m,/ year,"The average salary for a Development Operations (DevOps) Engineer is Rs 1,204,504 in 2025",https://www.payscale.com/research/PK/Job=Development_Operations_(DevOps)_Engineer/Salary
"Rs 261,905","{'Medical': '40%', 'Dental': '10%', 'None': '60%'}","{'Entry Level': '▼30%', 'Early Career': '▲15%', 'Mid Career': '▲37%'}","{'Male': '55.0%', 'Female': '45.0%'}",Average Social Media Manager Salary in Pakistan,PKR 262k,/ year,"The average salary for a Social Media Manager is Rs 261,905 in 2025",https://www.payscale.com/research/PK/Job=Social_Media_Manager/Salary
"Rs 819,355","{'Medical': '47%', 'Dental': '11%', 'Vision': '16%', 'None': '47%'}","{'Early Career': '▼27%', 'Mid Career': '▲12%', 'Late Career': '▲17%'}","{'Male': '81.3%', 'Female': '18.8%'}",Average Assistant Finance Manager Salary in Pakistan,PKR 819k,/ year,"The average salary for an Assistant Finance Manager is Rs 819,355 in 2025",https://www.payscale.com/research/PK/Job=Assistant_Finance_Manager/Salary
"Rs 982,635","{'Medical': '47%', 'None': '53%'}","{'Entry Level': '▼24%', 'Early Career': '▼17%', 'Mid Career': '▲20%', 'Late Career': '▼27%'}","{'Male': '82.4%', 'Female': '17.6%'}",Average Medical Officer Salary in Pakistan,PKR 983k,/ year,"The average salary for a Medical Officer is Rs 982,635 in 2025",https://www.payscale.com/research/PK/Job=Medical_Officer/Salary
"Rs 760,000","{'Medical': '58%', 'Dental': '8%', 'Vision': '8%', 'None': '42%'}","{'Early Career': '▼17%', 'Mid Career': '▲54%'}","{'Female': '60.0%', 'Male': '40.0%'}",Average Human Resources (HR) Generalist Salary in Pakistan,PKR 760k,/ year,"The average salary for a Human Resources (HR) Generalist is Rs 760,000 in 2025",https://www.payscale.com/research/PK/Job=Human_Resources_(HR)_Generalist/Salary
"Rs 440,000","{'Medical': '62%', 'Dental': '10%', 'Vision': '5%', 'None': '38%'}","{'Entry Level': '▼31%', 'Early Career': '▼2%', 'Mid Career': '▲190%'}","{'Male': '79.2%', 'Female': '20.8%'}",Average UX Designer Salary in Pakistan,PKR 440k,/ year,"The average salary for a UX Designer is Rs 440,000 in 2025",https://www.payscale.com/research/PK/Job=UX_Designer/Salary
"Rs 540,000","{'Medical': '63%', 'Dental': '15%', 'Vision': '15%', 'None': '33%'}","{'Entry Level': '▼24%', 'Early Career': '▼4%', 'Mid Career': '▲56%', 'Late Career': '▲279%', 'Experienced': '▼42%'}","{'Male': '95.1%', 'Female': '4.9%'}",Average Mechanical Engineer Salary in Pakistan,PKR 540k,/ year,"The average salary for a Mechanical Engineer is Rs 540,000 in 2025",https://www.payscale.com/research/PK/Job=Mechanical_Engineer/Salary
"Rs 550,000","{'Medical': '38%', 'Dental': '13%', 'Vision': '13%', 'None': '63%'}","{'Entry Level': '▼76%', 'Early Career': '▼13%', 'Mid Career': '▲45%', 'Late Career': '▲9%'}","{'Male': '83.3%', 'Female': '16.7%'}",Average Internal Auditor Salary in Pakistan,PKR 550k,/ year,"The average salary for an Internal Auditor is Rs 550,000 in 2025",https://www.payscale.com/research/PK/Job=Internal_Auditor/Salary
"Rs 216,000","{'Medical': '67%', 'Dental': '17%', 'Vision': '17%', 'None': '33%'}","{'Entry Level': '▲85%', 'Early Career': '▼22%', 'Mid Career': '▲261%'}","{'Female': '63.6%', 'Male': '36.4%'}",Average Physiotherapist Salary in Pakistan,PKR 216k,/ year,"The average salary for a Physiotherapist is Rs 216,000 in 2025",https://www.payscale.com/research/PK/Job=Physiotherapist/Salary
"Rs 200,000","{'Medical': '33%', 'None': '67%'}","{'Entry Level': '▼1%', 'Early Career': '▼5%', 'Mid Career': '▼10%', 'Late Career': '▲164%', 'Experienced': '▲200%'}","{'Female': '74.2%', 'Male': '25.8%'}",Average High School Teacher Salary in Pakistan,PKR 200k,/ year,"The average salary for a High School Teacher is Rs 200,000 in 2025",https://www.payscale.com/research/PK/Job=High_School_Teacher/Salary
"Rs 963,395","{'Medical': '63%', 'Dental': '17%', 'Vision': '17%', 'None': '38%'}","{'Entry Level': '▼63%', 'Early Career': '▼24%', 'Mid Career': '▼5%', 'Late Career': '▼1%', 'Experienced': '▲97%'}","{'Male': '86.2%', 'Female': '12.1%'}",Average Operations Manager Salary in Pakistan,PKR 963k,/ year,"The average salary for an Operations Manager is Rs 963,395 in 2025",https://www.payscale.com/research/PK/Job=Operations_Manager/Salary
"Rs 660,000","{'Medical': '71%', 'None': '29%'}","{'Entry Level': '▼32%', 'Early Career': '▼5%', 'Mid Career': '▼76%', 'Late Career': '▼0%'}","{'Male': '84.6%', 'Female': '15.4%'}",Average Network Engineer Salary in Pakistan,PKR 660k,/ year,"The average salary for a Network Engineer is Rs 660,000 in 2025",https://www.payscale.com/research/PK/Job=Network_Engineer/Salary
"Rs 462,897","{'Medical': '50%', 'Dental': '5%', 'Vision': '9%', 'None': '45%'}","{'Entry Level': '▼11%', 'Early Career': '▼1%', 'Mid Career': '▲10%'}","{'Male': '52.0%', 'Female': '44.0%', 'Prefer to self-define': '4.0%'}",Average Human Resources (HR) Assistant Salary in Pakistan,PKR 463k,/ year,"The average salary for a Human Resources (HR) Assistant is Rs 462,897 in 2025",https://www.payscale.com/research/PK/Job=Human_Resources_(HR)_Assistant/Salary
"Rs 353,749","{'Medical': '31%', 'Dental': '4%', 'Vision': '2%', 'None': '69%'}","{'Entry Level': '▼14%', 'Early Career': '▼1%', 'Mid Career': '▲2%', 'Late Career': '▼56%'}","{'Female': '54.9%', 'Male': '42.3%'}",Average Content Writer Salary in Pakistan,PKR 354k,/ year,"The average salary for a Content Writer is Rs 353,749 in 2025",https://www.payscale.com/research/PK/Job=Content_Writer/Salary
"Rs 306,041","{'Medical': '30%', 'Dental': '6%', 'Vision': '8%', 'None': '67%'}","{'Entry Level': '▲17%', 'Early Career': '▲8%', 'Mid Career': '▲144%', 'Late Career': '▲292%'}","{'Male': '90.6%', 'Female': '8.5%'}",Average Web Developer Salary in Pakistan,PKR 306k,/ year,"The average salary for a Web Developer is Rs 306,041 in 2025",https://www.payscale.com/research/PK/Job=Web_Developer/Salary
"Rs 2,052,635","{'Medical': '86%', 'Dental': '14%', 'Vision': '10%', 'None': '14%'}","{'Early Career': '▼11%', 'Mid Career': '▲17%', 'Late Career': '▼9%'}","{'Male': '94.6%', 'Female': '4.5%'}",Average Senior Software Engineer Salary in Pakistan,PKR 2m,/ year,"The average salary for a Senior Software Engineer is Rs 2,052,635 in 2025",https://www.payscale.com/research/PK/Job=Senior_Software_Engineer/Salary
"Rs 656,000","{'Medical': '67%', 'Dental': '22%', 'Vision': '33%', 'None': '33%'}","{'Entry Level': '▼16%', 'Early Career': '▼22%', 'Mid Career': '▲37%'}","{'Male': '90.9%', 'Female': '9.1%'}",Average Auditor Salary in Pakistan,PKR 656k,/ year,"The average salary for an Auditor is Rs 656,000 in 2025",https://www.payscale.com/research/PK/Job=Auditor/Salary
"Rs 450,000",{'None': '100%'},{},{'Male': '100.0%'},Average Quality Assurance Auditor Salary in Pakistan,,/ year,"The average salary for a Quality Assurance Auditor is Rs 450,000 in 2025",https://www.payscale.com/research/PK/Job=Quality_Assurance_Auditor/Salary
"Rs 601,862","{'Medical': '47%', 'Dental': '3%', 'Vision': '6%', 'None': '50%'}","{'Entry Level': '▼60%', 'Early Career': '▼2%', 'Mid Career': '▼1%', 'Late Career': '▲43%', 'Experienced': '▲94%'}","{'Male': '91.3%', 'Female': '8.7%'}",Average Account Manager Salary in Pakistan,PKR 602k,/ year,"The average salary for an Account Manager is Rs 601,862 in 2025",https://www.payscale.com/research/PK/Job=Account_Manager/Salary
"Rs 108,000",{},"{'Entry Level': '▼0%', 'Early Career': '▲206%'}",{'Female': '100.0%'},Average Accounting Intern Salary in Pakistan,,/ year,"The average salary for an Accounting Intern is Rs 108,000 in 2025",https://www.payscale.com/research/PK/Job=Accounting_Intern/Salary
"Rs 80,000","{'Medical': '40%', 'Dental': '20%', 'Vision': '20%', 'None': '60%'}","{'Entry Level': '▼50%', 'Early Career': '▲47%', 'Mid Career': '▲731%', 'Late Career': '▲500%'}","{'Male': '84.2%', 'Female': '15.8%'}",Average Graphic Artist / Designer Salary in Pakistan,PKR 80k,/ year,"The average salary for a Graphic Artist / Designer is Rs 80,000 in 2025",https://www.payscale.com/research/PK/Job=Graphic_Artist_%2F_Designer/Salary
"Rs 362,323","{'Medical': '32%', 'Dental': '6%', 'Vision': '6%', 'None': '66%'}","{'Entry Level': '▲10%', 'Early Career': '▲1%', 'Mid Career': '▲30%', 'Late Career': '▲5%', 'Experienced': '▲82%'}","{'Male': '91.7%', 'Female': '8.3%'}",Average Accountant Salary in Pakistan,PKR 362k,/ year,"The average salary for an Accountant is Rs 362,323 in 2025",https://www.payscale.com/research/PK/Job=Accountant/Salary
"Rs 478,140","{'Medical': '73%', 'Dental': '7%', 'Vision': '7%', 'None': '27%'}","{'Entry Level': '▲2%', 'Early Career': '▲4%', 'Mid Career': '▲5%', 'Late Career': '▲13%', 'Experienced': '▲1259%'}","{'Female': '53.8%', 'Male': '46.2%'}",Average Pharmacist Salary in Pakistan,PKR 478k,/ year,"The average salary for a Pharmacist is Rs 478,140 in 2025",https://www.payscale.com/research/PK/Job=Pharmacist/Salary
"Rs 988,696","{'Medical': '100%', 'Dental': '67%', 'Vision': '67%'}","{'Early Career': '▲11%', 'Mid Career': '▲54%', 'Late Career': '▲47%'}","{'Male': '75.0%', 'Female': '25.0%'}",Average Neurosurgeon Salary in Pakistan,PKR 989k,/ year,"The average salary for a Neurosurgeon is Rs 988,696 in 2025",https://www.payscale.com/research/PK/Job=Neurosurgeon/Salary
"Rs 819,665","{'Medical': '60%', 'Dental': '10%', 'Vision': '15%', 'None': '40%'}","{'Entry Level': '▼41%', 'Early Career': '▼1%', 'Mid Career': '▲46%'}","{'Male': '84.0%', 'Female': '16.0%'}",Average Software Engineer / Developer / Programmer Salary in Pakistan,PKR 820k,/ year,"The average salary for a Software Engineer / Developer / Programmer is Rs 819,665 in 2025",https://www.payscale.com/research/PK/Job=Software_Engineer_%2F_Developer_%2F_Programmer/Salary
